Per Pupil Spending,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Level Code,Division,School,End-of-Year Average Daily Membership,School-Level Expenditures Per-Pupil Federal,School-Level Expenditures Per-Pupil State,School-Level Expenditures Per-Pupil Subtotal,Division-Level Expenditures Per-Pupil Federal,Division-Level Expenditures Per-Pupil State,Division-Level Expenditures Per-Pupil Subtotal,Total Per-Pupil Expenditures,Per-Pupil Exclusions,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
2023 - 2024,SCH,Montgomery County Public Schools,Shawsville Middle,203.95,90,4050,4140,233,4595,4829,8969,42786,1829183,323,8645
2023 - 2024,SCH,Nelson County Public Schools,Nelson County High,469.03,1332,16062,17393,483,4385,4868,22262,2176577,10441415,1815,20447
2023 - 2024,SCH,Nelson County Public Schools,Nelson Middle,346.76,1181,12117,13298,483,4385,4868,18166,242622,6299361,1664,16502
2023 - 2024,SCH,Nelson County Public Schools,Rockfish River Elementary,290.01,1404,12700,14104,483,4385,4868,18972,311918,5502132,1887,17085
2023 - 2024,SCH,Nelson County Public Schools,Tye River Elementary,359.5,1844,12152,13996,483,4385,4868,18864,494591,6781714,2327,16537
2023 - 2024,SCH,New Kent County Public Schools,George W. Watkins Elementary,442.91,484,9559,10043,275,3970,4244,14287,450,6327755,759,13529
2023 - 2024,SCH,New Kent County Public Schools,New Kent Elementary ,644.57,1360,8088,9449,275,3970,4244,13693,450,8826050,1635,12058
2023 - 2024,SCH,New Kent County Public Schools,New Kent High ,1076.66,659,7684,8342,275,3970,4244,12586,674674,13551379,934,11654
2023 - 2024,SCH,New Kent County Public Schools,New Kent Middle ,823.01,226,7565,7791,275,3970,4244,12035,783,9905267,501,11535
2023 - 2024,SCH,New Kent County Public Schools,Quinton Elementary,533.53,484,8724,9208,275,3970,4244,13452,450,7177200,759,12694
2023 - 2024,SCH,Newport News City Public Schools,Achievable Dream Academy,622.13,769,7417,8186,1881,4565,6446,14632,339256,9103294,2650,11982
2023 - 2024,SCH,Newport News City Public Schools,Achievable Dream Middle/High ,480.79,0,11042,11042,1881,4565,6446,17489,180379,8408351,1881,15607
2023 - 2024,SCH,Newport News City Public Schools,B.C. Charles Elementary ,393.18,314,9761,10075,1881,4565,6446,16522,152706,6495975,2195,14326
2023 - 2024,SCH,Newport News City Public Schools,B.T. Washington Middle ,420.11,0,10066,10066,1881,4565,6446,16513,395087,6937199,1881,14631
2023 - 2024,SCH,Newport News City Public Schools,Carver Elementary,595.91,1365,10338,11703,1881,4565,6446,18149,340732,10815190,3246,14903
2023 - 2024,SCH,Newport News City Public Schools,Crittenden Middle,839.56,447,10185,10632,1881,4565,6446,17079,319824,14338464,2328,14750
2023 - 2024,SCH,Newport News City Public Schools,David A. Dutrow Elementary,372.35,183,8752,8935,1881,4565,6446,15381,208446,5727291,2064,13317
2023 - 2024,SCH,Newport News City Public Schools,Deer Park Elementary,456.23,0,9121,9121,1881,4565,6446,15567,429749,7102154,1881,13686
2023 - 2024,SCH,Newport News City Public Schools,Denbigh High,1238.63,523,10609,11133,1881,4565,6446,17579,510245,21773811,2404,15174
2023 - 2024,SCH,Newport News City Public Schools,Discovery STEM Academy,545.21,968,8924,9892,1881,4565,6446,16338,384591,8907571,2849,13489
2023 - 2024,SCH,Newport News City Public Schools,Ella J. Fitzgerald Middle ,959.24,208,8729,8937,1881,4565,6446,15383,321404,14755846,2089,13294
2023 - 2024,SCH,Newport News City Public Schools,Ethel M. Gildersleeve Middle,1104.61,341,9874,10215,1881,4565,6446,16661,301968,18403828,2222,14439
2023 - 2024,SCH,Newport News City Public Schools,General Stanford Elementary,445.08,5546,3621,9167,1881,4565,6446,15614,182965,6949312,7427,8186
2023 - 2024,SCH,Newport News City Public Schools,George J. McIntosh Elementary ,464.3,1538,10737,12275,1881,4565,6446,18721,296158,8692309,3419,15302
2023 - 2024,SCH,Newport News City Public Schools,Heritage High,1032.06,329,11910,12239,1881,4565,6446,18686,491967,19284779,2210,16475
2023 - 2024,SCH,Newport News City Public Schools,Hidenwood Elementary,522.61,1310,9446,10757,1881,4565,6446,17203,330640,8990392,3191,14011
2023 - 2024,SCH,Newport News City Public Schools,Hilton Elementary,401.44,0,9357,9357,1881,4565,6446,15803,132216,6343969,1881,13922
2023 - 2024,SCH,Newport News City Public Schools,Homer L. Hines Middle,838.08,517,8669,9185,1881,4565,6446,15632,330475,13100701,2398,13234
2023 - 2024,SCH,Newport News City Public Schools,Huntington Middle,267.46,173,12034,12208,1881,4565,6446,18654,3344680,4989181,2054,16599
2023 - 2024,SCH,Newport News City Public Schools,John Marshall Early Childhood Center,230.65,2416,12062,14479,1881,4565,6446,20925,166854,4826319,4297,16627
2023 - 2024,SCH,Newport News City Public Schools,Joseph H. Saunders Elementary,658.01,641,7885,8526,1881,4565,6446,14972,2725751,9851629,2522,12450
2023 - 2024,SCH,Newport News City Public Schools,Katherine Johnson Elementary,527.9,932,8951,9883,1881,4565,6446,16329,422376,8620168,2813,13516
2023 - 2024,SCH,Newport News City Public Schools,Kiln Creek Elementary,553.92,1047,9541,10588,1881,4565,6446,17034,414669,9435636,2928,14106
2023 - 2024,SCH,Newport News City Public Schools,Knollwood Meadows Elementary ,439.11,661,9415,10077,1881,4565,6446,16523,289859,7255408,2542,13980
2023 - 2024,SCH,Newport News City Public Schools,L.F. Palmer Elementary ,501.52,152,8802,8954,1881,4565,6446,15400,317830,7723476,2033,13367
2023 - 2024,SCH,Newport News City Public Schools,Mary Passage Middle,964.55,679,8087,8765,1881,4565,6446,15212,383242,14672534,2560,12652
2023 - 2024,SCH,Newport News City Public Schools,Menchville High,1725.47,359,9236,9595,1881,4565,6446,16042,439201,27679170,2240,13801
2023 - 2024,SCH,Newport News City Public Schools,Newsome Park Elementary,413.01,1426,10686,12112,1881,4565,6446,18558,680391,7664822,3307,15251
2023 - 2024,SCH,Newport News City Public Schools,Oliver C. Greenwood Elementary,549.66,685,7965,8649,1881,4565,6446,15096,299477,8297446,2566,12530
2023 - 2024,SCH,Newport News City Public Schools,Richard T. Yates Elementary,428.81,562,8884,9446,1881,4565,6446,15892,1027135,6814760,2443,13449
2023 - 2024,SCH,Newport News City Public Schools,Richneck Elementary,513.39,47,8155,8202,1881,4565,6446,14649,2807963,7520407,1928,12720
2023 - 2024,SCH,Newport News City Public Schools,Riverside Elementary,497.2,164,8868,9032,1881,4565,6446,15478,149519,7695795,2045,13433
2023 - 2024,SCH,Newport News City Public Schools,Sedgefield Elementary,464.41,1372,8993,10365,1881,4565,6446,16811,342143,7807339,3253,13558
2023 - 2024,SCH,Newport News City Public Schools,Stoney Run Elementary ,504.22,1498,9141,10639,1881,4565,6446,17086,358053,8614853,3379,13706
2023 - 2024,SCH,Newport News City Public Schools,T. Ryland Sanford Elementary,457.68,749,8812,9561,1881,4565,6446,16008,295629,7326318,2630,13377
2023 - 2024,SCH,Newport News City Public Schools,Warwick High,1580.93,182,9226,9408,1881,4565,6446,15854,682722,25063929,2063,13791
2023 - 2024,SCH,Newport News City Public Schools,Willis A. Jenkins Elementary,461.72,651,8851,9502,1881,4565,6446,15948,366521,7363650,2532,13416
2023 - 2024,SCH,Newport News City Public Schools,Woodside High,1763.48,349,9104,9453,1881,4565,6446,15899,388785,28038028,2230,13669
2023 - 2024,SCH,Norfolk City Public Schools,Academy for Discovery at Lakewood,728.56,64,8120,8184,941,4976,5917,14101,0,10273435,1005,13096
2023 - 2024,SCH,Norfolk City Public Schools,Azalea Gardens Middle,809.1,221,7195,7416,941,4976,5917,13334,0,10788139,1162,12171
2023 - 2024,SCH,Norfolk City Public Schools,Bay View Elementary,504.14,842,7872,8714,941,4976,5917,14632,48205,7376366,1783,12848
2023 - 2024,SCH,Norfolk City Public Schools,Blair Middle,1076.93,318,8660,8978,941,4976,5917,14896,0,16041569,1259,13636
2023 - 2024,SCH,Norfolk City Public Schools,Booker T Washington High,938.45,443,9123,9566,941,4976,5917,15483,48155,14530304,1384,14099
2023 - 2024,SCH,Norfolk City Public Schools,Camp Allen Elementary,403.01,470,9137,9607,941,4976,5917,15525,48876,6256585,1411,14113
2023 - 2024,SCH,Norfolk City Public Schools,Chesterfield Elementary,308.54,2032,9809,11841,941,4976,5917,17759,50890,5479314,2973,14785
2023 - 2024,SCH,Norfolk City Public Schools,Coleman Place Elementary,558.3,1238,7399,8637,941,4976,5917,14554,70844,8125495,2179,12375
2023 - 2024,SCH,Norfolk City Public Schools,Crossroads PreK-8 School,754.9,1004,10082,11085,941,4976,5917,17002,108597,12835171,1945,15058
2023 - 2024,SCH,Norfolk City Public Schools,Ghent K-8,496.71,204,9690,9894,941,4976,5917,15811,0,7853618,1145,14666
2023 - 2024,SCH,Norfolk City Public Schools,Granby Elementary,487.06,665,8955,9621,941,4976,5917,15538,39722,7567983,1606,13931
2023 - 2024,SCH,Norfolk City Public Schools,Granby High,1815.33,182,8090,8272,941,4976,5917,14189,183828,25758291,1123,13066
2023 - 2024,SCH,Norfolk City Public Schools,Ingleside Elementary,558.93,1313,7690,9003,941,4976,5917,14921,55521,8339591,2254,12666
2023 - 2024,SCH,Norfolk City Public Schools,Jacox Elementary,567.83,1811,7985,9796,941,4976,5917,15714,81250,8922682,2752,12961
2023 - 2024,SCH,Norfolk City Public Schools,James Monroe Elementary,270.75,1564,12664,14228,941,4976,5917,20145,130507,5454370,2505,17640
2023 - 2024,SCH,Norfolk City Public Schools,Lake Taylor,668.62,1051,10839,11890,941,4976,5917,17808,55251,11906469,1992,15815
2023 - 2024,SCH,Norfolk City Public Schools,Lake Taylor High ,1112.9,119,7660,7779,941,4976,5917,13696,0,15242676,1060,12636
2023 - 2024,SCH,Norfolk City Public Schools,Larchmont Elementary,486.45,43,8258,8302,941,4976,5917,14219,0,6916997,984,13234
2023 - 2024,SCH,Norfolk City Public Schools,Larrymore Elementary,591.7,913,8369,9281,941,4976,5917,15199,53946,8992981,1854,13345
2023 - 2024,SCH,Norfolk City Public Schools,Lindenwood Elementary,249.9,2293,12782,15075,941,4976,5917,20993,61196,5246029,3234,17758
2023 - 2024,SCH,Norfolk City Public Schools,Little Creek Elementary,602.11,735,9737,10472,941,4976,5917,16390,44529,9868493,1676,14713
2023 - 2024,SCH,Norfolk City Public Schools,Mary Calcott Elementary,421.17,246,9023,9268,941,4976,5917,15186,4441,6395818,1187,13999
2023 - 2024,SCH,Norfolk City Public Schools,Matthew Fontaine Maury High,1673.73,60,8327,8388,941,4976,5917,14305,0,23942870,1001,13303
2023 - 2024,SCH,Norfolk City Public Schools,Northside Middle,746.89,155,9005,9160,941,4976,5917,15078,0,11261269,1096,13981
2023 - 2024,SCH,Norfolk City Public Schools,Norview Elementary,387.25,925,9961,10886,941,4976,5917,16804,33656,6507249,1866,14937
2023 - 2024,SCH,Norfolk City Public Schools,Norview High,1725.51,93,8281,8374,941,4976,5917,14291,0,24659489,1034,13257
2023 - 2024,SCH,Norfolk City Public Schools,Norview Middle,1173.64,631,7391,8022,941,4976,5917,13939,55914,16359904,1572,12367
2023 - 2024,SCH,Norfolk City Public Schools,Ocean View Elementary,503.9,579,8989,9568,941,4976,5917,15485,58841,7803137,1520,13965
2023 - 2024,SCH,Norfolk City Public Schools,Oceanair Elementary,429.41,702,9469,10171,941,4976,5917,16089,122192,6908579,1643,14445
2023 - 2024,SCH,Norfolk City Public Schools,P.B. Young Sr. Elementary ,218.94,1957,11581,13538,941,4976,5917,19456,55328,4259648,2898,16557
2023 - 2024,SCH,Norfolk City Public Schools,Richard Bowling Elementary,470.73,1951,8827,10778,941,4976,5917,16695,64503,7858997,2892,13803
2023 - 2024,SCH,Norfolk City Public Schools,Ruffner School,532.29,1572,10804,12376,941,4976,5917,18293,71457,9737407,2513,15780
2023 - 2024,SCH,Norfolk City Public Schools,Sewells Point Elementary,524.67,51,8784,8835,941,4976,5917,14753,0,7740407,992,13760
2023 - 2024,SCH,Norfolk City Public Schools,Sherwood Forest Elementary,431.8,845,8595,9440,941,4976,5917,15357,47731,6631216,1786,13571
2023 - 2024,SCH,Norfolk City Public Schools,Southside STEM Academy at Campostella ,686.47,1357,9629,10986,941,4976,5917,16903,48521,11603710,2298,14605
2023 - 2024,SCH,Norfolk City Public Schools,St. Helena Elementary,222.91,1541,11825,13366,941,4976,5917,19283,55655,4298413,2482,16801
2023 - 2024,SCH,Norfolk City Public Schools,Suburban Park Elementary,448.67,1468,9115,10583,941,4976,5917,16500,50867,7403073,2409,14091
2023 - 2024,SCH,Norfolk City Public Schools,Tanners Creek Elementary,530.15,788,8378,9167,941,4976,5917,15084,38319,7996833,1729,13354
2023 - 2024,SCH,Norfolk City Public Schools,Tarrallton Elementary,296.97,78,12064,12141,941,4976,5917,18059,0,5362916,1019,17040
2023 - 2024,SCH,Norfolk City Public Schools,Walter Herron Taylor Elementary,359.62,186,9596,9783,941,4976,5917,15700,0,5646012,1127,14572
2023 - 2024,SCH,Norfolk City Public Schools,Willard Elementary,456.65,743,9167,9910,941,4976,5917,15827,56342,7227433,1684,14143
2023 - 2024,SCH,Northampton County Public Schools,Kiptopeke Elementary,323.37,2005,10057,12062,539,5843,6383,18445,795,5964613,2544,15900
2023 - 2024,SCH,Northampton County Public Schools,Northampton High,412.28,860,11105,11965,539,5843,6383,18348,117092,7564313,1399,16948
2023 - 2024,SCH,Northampton County Public Schools,Northampton Middle,221.15,1389,7272,8661,539,5843,6383,15043,1301,3326827,1928,13115
2023 - 2024,SCH,Northampton County Public Schools,Occohannock Elementary,364.08,1290,10059,11349,539,5843,6383,17732,1293,6455950,1829,15902
2023 - 2024,SCH,Northumberland County Public Schools,Northumberland Elementary,530.88,2165,12792,14957,305,4747,5051,20008,509175,10621625,2470,17539
2023 - 2024,SCH,Northumberland County Public Schools,Northumberland High,376.06,552,11799,12350,305,4747,5051,17401,998923,6543951,857,16546
2023 - 2024,SCH,Northumberland County Public Schools,Northumberland Middle,251.08,438,13266,13704,305,4747,5051,18755,164137,4709061,743,18013
2023 - 2024,SCH,Norton City Public Schools,J.I. Burton High ,316.02,0,10666,10666,0,2887,2887,13552,341800,4282847,0,13553
2023 - 2024,SCH,Norton City Public Schools,Norton Elementary,500.29,1080,9020,10100,0,2887,2887,12987,1359182,6497134,1080,11907
2023 - 2024,SCH,Nottoway County Public Schools,Blackstone Primary,380.15,376,6586,6962,3422,5220,8642,15604,560,5931856,3798,11806
2023 - 2024,SCH,Nottoway County Public Schools,Crewe Primary,374.8,1149,6110,7259,3422,5220,8642,15901,1960,5959704,4571,11330
2023 - 2024,SCH,Nottoway County Public Schools,Nottoway High,525.47,24,8330,8354,3422,5220,8642,16996,528415,8930832,3446,13550
2023 - 2024,SCH,Nottoway County Public Schools,Nottoway Intermediate,286.28,1093,6472,7565,3422,5220,8642,16207,840,4639770,4515,11692
2023 - 2024,SCH,Nottoway County Public Schools,Nottoway Middle,249.97,279,10303,10582,3422,5220,8642,19224,5000,4805503,3701,15523
2023 - 2024,SCH,Orange County Public Schools,Gordon-Barbour Elementary,342.82,1363,8088,9451,717,4113,4830,14281,0,4895821,2080,12201
2023 - 2024,SCH,Orange County Public Schools,Lightfoot Elementary,243.86,1841,6763,8604,717,4113,4830,13434,219,3276113,2558,10876
2023 - 2024,SCH,Orange County Public Schools,Locust Grove Elementary,519.78,472,6912,7384,717,4113,4830,12214,400,6348584,1189,11025
2023 - 2024,SCH,Orange County Public Schools,Locust Grove Middle,673.59,359,7743,8103,717,4113,4830,12933,1220,8711458,1076,11856
2023 - 2024,SCH,Orange County Public Schools,Locust Grove Primary,489.45,536,7179,7715,717,4113,4830,12545,37203,6140114,1253,11292
2023 - 2024,SCH,Orange County Public Schools,Orange County High ,1442.03,431,7364,7795,717,4113,4830,12625,153540,18205926,1148,11477
2023 - 2024,SCH,Orange County Public Schools,Orange Elementary,641.62,2219,6591,8811,717,4113,4830,13641,724,8752251,2936,10704
2023 - 2024,SCH,Orange County Public Schools,Prospect Heights Middle,445.61,743,9763,10506,717,4113,4830,15336,6507,6833949,1460,13876
2023 - 2024,SCH,Orange County Public Schools,Unionville Elementary,254.4,1310,7541,8851,717,4113,4830,13681,2876,3480390,2027,11654
2023 - 2024,SCH,Page County Public Schools,Luray Elementary,479.91,91,8589,8680,1183,3726,4909,13589,0,6521481,1274,12315
2023 - 2024,SCH,Page County Public Schools,Luray High,471.29,69,9996,10065,1183,3726,4909,14974,0,7057111,1252,13722
2023 - 2024,SCH,Page County Public Schools,Luray Middle,300.34,110,11479,11589,1183,3726,4909,16497,0,4954843,1293,15205
2023 - 2024,SCH,Page County Public Schools,Page County High,507.56,64,8861,8925,1183,3726,4909,13834,0,7021581,1247,12587
2023 - 2024,SCH,Page County Public Schools,Page County Middle,336.04,98,9775,9873,1183,3726,4909,14782,0,4967399,1281,13501
2023 - 2024,SCH,Page County Public Schools,Shenandoah Elementary,326.15,134,9265,9399,1183,3726,4909,14308,0,4666394,1317,12991
2023 - 2024,SCH,Page County Public Schools,Springfield Elementary,220.62,198,9166,9364,1183,3726,4909,14273,0,3148888,1381,12892
2023 - 2024,SCH,Page County Public Schools,Stanley Elementary,344.79,127,8852,8979,1183,3726,4909,13888,0,4788423,1310,12578
2023 - 2024,SCH,Patrick County Public Schools,Blue Ridge Elementary,227.4,1343,8542,9885,110,4541,4651,14536,0,3305552,1453,13083
2023 - 2024,SCH,Patrick County Public Schools,Hardin Reynolds Memorial School,194.53,1863,8860,10723,110,4541,4651,15374,0,2990743,1973,13401
2023 - 2024,SCH,Patrick County Public Schools,Meadows of Dan Elementary ,324.55,344,7757,8100,110,4541,4651,12752,0,4138566,454,12298
2023 - 2024,SCH,Patrick County Public Schools,Patrick County High,793.66,744,9557,10301,110,4541,4651,14952,320969,11866968,854,14098
2023 - 2024,SCH,Patrick County Public Schools,Patrick Springs Primary,250.84,1418,8693,10112,110,4541,4651,14763,0,3703127,1528,13234
2023 - 2024,SCH,Patrick County Public Schools,Stuart Elementary,385.68,1092,7124,8216,110,4541,4651,12867,0,4962607,1202,11665
2023 - 2024,SCH,Patrick County Public Schools,Woolwine Elementary,157.67,973,9729,10703,110,4541,4651,15354,0,2420832,1083,14270
2023 - 2024,SCH,Petersburg City Public Schools,Cool Spring Elementary,545.07,948,4469,5417,368,4109,4477,9894,179589,5392895,1316,8578
2023 - 2024,SCH,Petersburg City Public Schools,Lakemont Elementary,415.27,1541,7134,8675,368,4109,4477,13152,132327,5461823,1909,11243
2023 - 2024,SCH,Petersburg City Public Schools,Petersburg High,1038.56,4075,14814,18889,368,4109,4477,23366,1186560,24267114,4443,18923
2023 - 2024,SCH,Petersburg City Public Schools,Pleasants Lane Elementary,518.99,4777,7909,12686,368,4109,4477,17163,198097,8907375,5145,12018
2023 - 2024,SCH,Petersburg City Public Schools,Vernon Johns Middle,895.4,1490,8556,10047,368,4109,4477,14524,250109,13004492,1858,12665
2023 - 2024,SCH,Petersburg City Public Schools,Walnut Hill Elementary,530.88,743,8921,9664,368,4109,4477,14141,178667,7507339,1111,13030
2023 - 2024,SCH,Pittsylvania County Public Schools,Brosville Elementary ,232.04,1414,9306,10720,1094,4511,5605,16325,260160,3788091,2508,13817
2023 - 2024,SCH,Pittsylvania County Public Schools,Chatham Elementary,231.02,1728,10827,12554,1094,4511,5605,18160,257136,4195277,2822,15338
2023 - 2024,SCH,Pittsylvania County Public Schools,Chatham High,593.3,610,8603,9213,1094,4511,5605,14819,526306,8791887,1704,13114
